atm_id,city,street,house,full_address
1,Астана,ул. Шевченко,1,"Астана, ул. Шевченко, 1"
2,Астана,пр-т Достык,9,"Астана, пр-т Достык, 9"
3,Астана,ул. Абая,94а,"Астана, ул. Абая, 94а"
4,Астана,пр-т Момышулы,10,"Астана, пр-т Момышулы, 10"
5,Астана,Пр. Туран,37,"Астана, Пр. Туран, 37"
6,Астана,пр. Туран,6/1,"Астана, пр. Туран, 6/1"
7,Астана,проспект Туран,20,"Астана, проспект Туран, 20"
8,Астана ул.Е495 угол ул.Мангилик Ел,,,Астана ул.Е495 угол ул.Мангилик Ел
9,Астана,ул. Бейбитшилик,25,"Астана, ул. Бейбитшилик, 25"
10,Астана,ул. Алихана Бокейханова,12,"Астана, ул. Алихана Бокейханова, 12"
11,Астана,ул. Хусейн Бен Талал,7,"Астана, ул. Хусейн Бен Талал, 7"
12,Астана,ул.Кунаева,10,"Астана, ул.Кунаева, 10"
13,Астана,ул. Сыганак,17,"Астана, ул. Сыганак, 17"
14,Астана,Ул. Жубанова,7,"Астана, Ул. Жубанова, 7"
15,Астана,ул. Тауелсиздик,50,"Астана, ул. Тауелсиздик, 50"
16,Астана,Ул. Кабанбай Батыра,21,"Астана, Ул. Кабанбай Батыра, 21"
17,Астана пр-т Туран 38 угол Керей и Жанибек,,,Астана пр-т Туран 38 угол Керей и Жанибек
18,Астана,пр. Туран,65,"Астана, пр. Туран, 65"
19,Астана,пр. Кабанбай батыра 62,пр. Кабанбай батыра 62,"Астана, пр. Кабанбай батыра 62"
20,Астана,ул. Достык 16,уг. ул. Туркестан,"Астана, ул. Достык 16, уг. ул. Туркестан"
21,Астана,ул. Биржан Сал,2,"Астана, ул. Биржан Сал, 2"
22,Астана,ул. Достык,8/1,"Астана, ул. Достык, 8/1"
23,Астана,ул. Сыганак,16/5,"Астана, ул. Сыганак, 16/5"
24,Астана,ул. Жылайири,2,"Астана, ул. Жылайири, 2"
25,Астана,пр. Кабанбай батыра,13,"Астана, пр. Кабанбай батыра, 13"
26,Астана,пр-т Абая 103,пр-т Абая 103,"Астана, пр-т Абая 103"
27,Астана,Ул. Кунаева,12,"Астана, Ул. Кунаева, 12"
28,Астана,ул.Тлендиева,15,"Астана, ул.Тлендиева, 15"
