edge_id,weekday_traffic,hourly_weekday_traffic,weekend_traffic,hourly_weekend_traffic,geometry
19141732935445476,1,0,1,0,"MULTILINESTRING ((71.6968894048 51.1149674236, 71.6972837652 51.1146578271, 71.6972850228 51.1146570376, 71.6973892274 51.1146023364, 71.6973898562 51.1146020544, 71.6975246035 51.1145422777, 71.6975250527 51.1145420522, 71.6976472235 51.1144946819, 71.6976476727 51.1144945691, 71.69809267685751 51.11434362513243), (71.69809267685751 51.11434362513243, 71.6980932371 51.1143434351, 71.6980923388 51.1143437735, 71.69809267685751 51.11434362513243), (71.69809267685751 51.11434362513243, 71.69819261456986 51.11429976420661), (71.69819261456986 51.11429976420661, 71.6981938484 51.1142992227, 71.6981917823 51.1143004634, 71.69819261456986 51.11429976420661), (71.69819261456986 51.11429976420661, 71.69825188174714 51.11424997360313), (71.69825188174714 51.11424997360313, 71.6982528677 51.1142491453, 71.6982514304 51.1142510627, 71.69825188174714 51.11424997360313), (71.69825188174714 51.11424997360313, 71.69827980395421 51.11418259754992), (71.69827980395421 51.11418259754992, 71.6982801765 51.1141816986, 71.698279907 51.1141835032, 71.69827980395421 51.11418259754992), (71.69827980395421 51.11418259754992, 71.69826650847217 51.11406574606289), (71.69826650847217 51.11406574606289, 71.6982664323 51.1140650766, 71.6982667916 51.1140663172, 71.69826650847217 51.11406574606289), (71.69826650847217 51.11406574606289, 71.69819972012675 51.113931017864225), (71.69819972012675 51.113931017864225, 71.6981994179 51.1139304082, 71.6981999569 51.1139313105, 71.69819972012675 51.113931017864225), (71.69819972012675 51.113931017864225, 71.69811398606805 51.113825056348894), (71.69811398606805 51.113825056348894, 71.6981137187 51.1138247259, 71.698114617 51.1138255718, 71.69811398606805 51.113825056348894), (71.69811398606805 51.113825056348894, 71.69805046633019 51.113773162765895), (71.69805046633019 51.113773162765895, 71.69804904 51.1137719975, 71.6980525434 51.1137737457, 71.69805046633019 51.113773162765895), (71.69805046633019 51.113773162765895, 71.69797775027754 51.113752754849465), (71.69797775027754 51.113752754849465, 71.6979761866 51.113752316, 71.6979797799 51.1137527671, 71.69797775027754 51.113752754849465), (71.69797775027754 51.113752754849465, 71.69788735899986 51.11375220925941), (71.69788735899986 51.11375220925941, 71.6978863551 51.1137522032, 71.697887433 51.1137522032, 71.69788735899986 51.11375220925941), (71.69788735899986 51.11375220925941, 71.69778508770884 51.11376058361717), (71.69778508770884 51.11376058361717, 71.6977841268 51.1137606623, 71.6977860132 51.1137603803, 71.69778508770884 51.11376058361717), (71.69778508770884 51.11376058361717, 71.6969928009 51.1139346377))"
19141732935447603,575,23,1455,60,"LINESTRING (71.4862087788 51.1260802259, 71.4861791344 51.1260734604, 71.4861785954 51.1260733476, 71.4858516087 51.125983141)"
19141732935447693,1601,66,2264,94,"LINESTRING (71.4783473523 51.1266109752, 71.4782674022 51.1266233785, 71.478267492 51.1266233221, 71.4781929319 51.1266351615)"
19141732935447697,490,20,1414,58,"LINESTRING (71.4777608422 51.1266082127, 71.4774149908 51.1265726943)"
19141732935447727,2553,106,5122,213,"LINESTRING (71.48736656725443 51.12627115678273, 71.4873556579 51.126269941)"
19141732935447753,1018,42,1528,63,"LINESTRING (71.4760835978 51.126782929, 71.4758617139 51.1268173197)"
19141732935447762,90,3,261,10,"LINESTRING (71.4781929319 51.1266351615, 71.4777994698 51.1266971777)"
19141732935447763,523,21,1429,59,"LINESTRING (71.4777951579 51.1266863531, 71.47818862 51.1266243369)"
19141732935447965,507,21,1466,61,"LINESTRING (71.4727059323 51.1275000541, 71.4726134058 51.1275141484, 71.4726102617 51.1275142612, 71.4724297003 51.1274996031, 71.4724278139 51.1274993212, 71.4720514198 51.1274141914)"
19141732935447985,1345,56,2749,114,"LINESTRING (71.4865962222 51.126445899, 71.4867669021 51.1262079806)"
19141732935448033,919,38,1181,49,"LINESTRING (71.4857967216 51.1275525977, 71.4859099093 51.1273958687)"
19141732935448060,2059,85,5596,233,"LINESTRING (71.4876034133 51.1264364837, 71.488001367 51.1266338085, 71.4880011873 51.1266336957, 71.4881601891 51.1267075513)"
19141732935448074,0,0,0,0,"LINESTRING (71.4682793041 51.1279925638, 71.4698899834 51.1277405591)"
19141732935448075,245,10,166,6,"LINESTRING (71.4698942953 51.1277514963, 71.468283616 51.1280035008)"
19141732935448210,2546,106,3607,150,"LINESTRING (71.4859217671 51.1273931062, 71.4869943555 51.1277003623)"
